project_id,project_name,department_id,start_year
1,Project Alpha 566,7495,2012
2,Project Beta 246,9198,2017
3,Project Gamma 732,9789,2023
4,Project Gamma 618,9281,2013
5,Project Zeta 509,7974,2014
6,Project Beta 653,6513,2010
7,Project Alpha 597,6421,2021
8,Project Zeta 582,8681,2017
9,Project Beta 614,8454,2010
10,Project Alpha 206,1045,2022
11,Project Beta 133,5736,2012
12,Project Zeta 694,2465,2013
13,Project Epsilon 327,5966,2012
14,Project Beta 315,7627,2017
15,Project Gamma 145,4420,2014
16,Project Epsilon 921,492,2016
17,Project Zeta 347,3066,2014
18,Project Gamma 663,9986,2016
19,Project Epsilon 356,6714,2010
20,Project Gamma 964,1797,2021
21,Project Beta 528,1718,2016
22,Project Zeta 861,6004,2015
23,Project Zeta 418,2127,2017
24,Project Epsilon 353,3218,2020
25,Project Epsilon 684,7682,2010
26,Project Beta 223,4880,2020
27,Project Delta 179,6317,2019
28,Project Zeta 876,571,2014
29,Project Delta 785,6227,2011
30,Project Alpha 252,7001,2020
31,Project Zeta 764,6009,2014
32,Project Gamma 184,9618,2021
33,Project Alpha 875,4345,2013
34,Project Delta 576,543,2012
35,Project Epsilon 776,6791,2017
36,Project Alpha 438,174,2013
37,Project Gamma 523,2759,2013
38,Project Delta 937,3062,2022
39,Project Gamma 506,4400,2022
40,Project Gamma 927,6509,2010
41,Project Gamma 650,5854,2023
42,Project Alpha 187,9588,2019
43,Project Alpha 514,5247,2022
44,Project Delta 849,3856,2012
45,Project Beta 789,6624,2017
46,Project Epsilon 172,1891,2011
47,Project Delta 620,5518,2011
48,Project Beta 455,9876,2021
49,Project Beta 797,7441,2012
50,Project Epsilon 179,6643,2019
51,Project Gamma 242,2390,2012
52,Project Epsilon 245,5705,2013
53,Project Epsilon 363,1159,2018
54,Project Delta 438,7839,2016
55,Project Alpha 601,6640,2015
56,Project Zeta 596,2651,2012
57,Project Zeta 364,5965,2023
58,Project Epsilon 937,8528,2023
59,Project Beta 546,7093,2010
60,Project Delta 699,9169,2013
61,Project Beta 778,4631,2010
62,Project Epsilon 305,3187,2017
63,Project Epsilon 323,6429,2023
64,Project Zeta 215,5762,2023
65,Project Zeta 690,2991,2023
66,Project Delta 524,8560,2016
67,Project Delta 759,8482,2010
68,Project Epsilon 122,7887,2019
69,Project Gamma 527,5504,2013
70,Project Alpha 125,811,2012
71,Project Beta 596,5974,2010
72,Project Epsilon 306,6704,2020
73,Project Alpha 387,7707,2023
74,Project Alpha 733,2546,2018
75,Project Alpha 340,3640,2017
76,Project Alpha 371,2327,2020
77,Project Alpha 321,7738,2014
78,Project Delta 943,2893,2017
79,Project Epsilon 333,9483,2012
80,Project Zeta 247,6679,2021
81,Project Zeta 615,4561,2023
82,Project Epsilon 435,4261,2012
83,Project Delta 942,6826,2021
84,Project Beta 725,4037,2021
85,Project Zeta 879,4040,2016
86,Project Zeta 687,8369,2013
87,Project Beta 870,5069,2010
88,Project Zeta 582,2849,2022
89,Project Epsilon 187,5663,2019
90,Project Epsilon 207,6824,2011
91,Project Zeta 613,418,2019
92,Project Epsilon 938,505,2019
93,Project Epsilon 674,1023,2014
94,Project Alpha 739,3406,2013
95,Project Delta 840,2900,2017
96,Project Beta 375,4951,2015
97,Project Beta 290,7929,2015
98,Project Epsilon 365,2230,2016
99,Project Delta 338,2194,2021
100,Project Zeta 827,7936,2012
101,Project Beta 251,1670,2022
102,Project Gamma 456,3902,2012
103,Project Gamma 151,1579,2016
104,Project Epsilon 985,9478,2013
105,Project Beta 680,7252,2014
106,Project Gamma 198,1399,2021
107,Project Zeta 504,5542,2023
108,Project Zeta 899,1123,2016
109,Project Alpha 659,6537,2012
110,Project Gamma 953,9714,2022
111,Project Gamma 999,1741,2013
112,Project Beta 695,6968,2016
113,Project Zeta 104,5588,2023
114,Project Delta 431,2441,2020
115,Project Epsilon 515,6474,2021
116,Project Gamma 590,1077,2020
117,Project Alpha 624,1405,2013
118,Project Beta 774,63,2017
119,Project Beta 297,9394,2011
120,Project Epsilon 826,1430,2018
121,Project Gamma 509,5401,2015
122,Project Alpha 893,6731,2013
123,Project Delta 694,8333,2015
124,Project Alpha 487,7506,2021
125,Project Delta 764,5910,2015
126,Project Epsilon 733,9511,2011
127,Project Epsilon 488,6758,2019
128,Project Delta 515,1007,2021
129,Project Beta 241,3233,2016
130,Project Gamma 413,9374,2021
131,Project Epsilon 912,5693,2020
132,Project Alpha 967,4741,2013
133,Project Delta 782,75,2021
134,Project Gamma 301,4128,2012
135,Project Gamma 721,1698,2023
136,Project Delta 259,7043,2013
137,Project Alpha 609,7667,2017
138,Project Gamma 825,4480,2012
139,Project Beta 248,1619,2023
140,Project Beta 796,4941,2012
141,Project Zeta 210,9673,2023
142,Project Delta 296,8409,2011
143,Project Zeta 850,9443,2010
144,Project Beta 363,7271,2013
145,Project Alpha 564,5353,2011
146,Project Alpha 777,2895,2019
147,Project Gamma 653,3874,2021
148,Project Epsilon 434,242,2018
149,Project Zeta 310,3853,2012
150,Project Delta 203,400,2014
151,Project Gamma 312,5286,2011
152,Project Beta 425,6988,2021
153,Project Beta 788,4830,2013
154,Project Alpha 813,7201,2011
155,Project Epsilon 789,1057,2016
156,Project Beta 925,3205,2022
157,Project Gamma 367,7312,2020
158,Project Alpha 818,5874,2023
159,Project Gamma 986,3460,2013
160,Project Zeta 748,8289,2012
161,Project Gamma 409,1766,2017
162,Project Delta 657,9363,2012
163,Project Zeta 790,2411,2010
164,Project Delta 652,2179,2019
165,Project Zeta 706,4174,2015
166,Project Epsilon 804,681,2012
167,Project Epsilon 410,5679,2017
168,Project Alpha 790,9121,2016
169,Project Epsilon 803,1639,2022
170,Project Epsilon 779,8426,2011
171,Project Delta 861,2884,2015
172,Project Gamma 711,9914,2013
173,Project Alpha 409,5280,2013
174,Project Zeta 528,5550,2011
175,Project Beta 322,8476,2016
176,Project Alpha 905,3655,2016
177,Project Delta 808,4765,2023
178,Project Delta 183,7063,2011
179,Project Delta 945,178,2015
180,Project Gamma 346,3712,2017
181,Project Zeta 120,7932,2022
182,Project Zeta 912,3882,2016
183,Project Delta 180,2082,2017
184,Project Zeta 365,7928,2010
185,Project Delta 720,6142,2013
186,Project Alpha 278,1770,2017
187,Project Epsilon 934,9746,2014
188,Project Alpha 778,6355,2019
189,Project Delta 243,9734,2016
190,Project Delta 244,863,2014
191,Project Alpha 667,7046,2012
192,Project Epsilon 300,1068,2019
193,Project Alpha 760,6178,2017
194,Project Epsilon 747,7410,2015
195,Project Zeta 806,9146,2016
196,Project Zeta 364,8052,2014
197,Project Alpha 897,1918,2019
198,Project Beta 753,5958,2015
199,Project Beta 998,1978,2017
200,Project Gamma 434,20,2014
201,Project Delta 958,1685,2016
202,Project Alpha 402,3834,2018
203,Project Zeta 378,801,2013
204,Project Epsilon 993,7636,2012
205,Project Delta 588,5510,2014
206,Project Gamma 550,6852,2023
207,Project Epsilon 747,941,2019
208,Project Gamma 191,4228,2012
209,Project Gamma 775,1013,2019
210,Project Gamma 501,3222,2016
211,Project Zeta 848,922,2013
212,Project Epsilon 438,5278,2012
213,Project Epsilon 873,8567,2012
214,Project Beta 218,3443,2012
215,Project Epsilon 734,7005,2017
216,Project Epsilon 321,5058,2013
217,Project Gamma 648,5977,2019
218,Project Epsilon 210,9937,2017
219,Project Delta 519,4051,2018
220,Project Gamma 624,6420,2021
221,Project Zeta 689,2426,2012
222,Project Gamma 829,4420,2013
223,Project Delta 808,6669,2013
224,Project Delta 514,2894,2018
225,Project Delta 199,1259,2017
226,Project Alpha 927,7164,2015
227,Project Beta 752,5612,2019
228,Project Gamma 455,3200,2019
229,Project Gamma 478,781,2016
230,Project Zeta 681,8543,2019
231,Project Gamma 614,2105,2019
232,Project Gamma 651,6767,2013
233,Project Alpha 721,9401,2021
234,Project Delta 820,2466,2018
235,Project Gamma 433,4534,2011
236,Project Delta 694,3349,2021
237,Project Epsilon 406,3594,2011
238,Project Gamma 679,1945,2014
239,Project Beta 172,5837,2014
240,Project Gamma 839,544,2019
241,Project Delta 573,6380,2012
242,Project Gamma 246,9016,2015
243,Project Delta 367,541,2014
244,Project Alpha 896,6063,2012
245,Project Zeta 785,7945,2020
246,Project Zeta 576,324,2013
247,Project Gamma 357,7568,2016
248,Project Delta 933,3793,2010
249,Project Delta 908,7235,2019
250,Project Epsilon 600,5251,2011
251,Project Zeta 760,8,2019
252,Project Alpha 504,5794,2022
253,Project Alpha 736,4636,2010
254,Project Delta 273,3744,2014
255,Project Delta 205,5941,2021
256,Project Alpha 378,1939,2021
257,Project Zeta 164,8177,2010
258,Project Epsilon 256,9234,2012
259,Project Beta 153,9627,2012
260,Project Gamma 190,3451,2019
261,Project Alpha 104,2939,2019
262,Project Zeta 464,734,2011
263,Project Zeta 195,4979,2017
264,Project Gamma 790,7304,2012
265,Project Epsilon 685,899,2021
266,Project Gamma 479,5276,2012
267,Project Beta 593,8258,2013
268,Project Zeta 732,458,2014
269,Project Epsilon 606,5652,2017
270,Project Zeta 888,4800,2015
271,Project Delta 657,4640,2014
272,Project Beta 944,6262,2013
273,Project Beta 315,4025,2022
274,Project Zeta 671,8914,2014
275,Project Zeta 987,6790,2015
276,Project Alpha 684,689,2013
277,Project Zeta 397,9199,2013
278,Project Alpha 672,2259,2014
279,Project Alpha 313,675,2011
280,Project Delta 913,804,2016
281,Project Zeta 889,4173,2020
282,Project Zeta 369,9530,2010
283,Project Beta 474,9273,2013
284,Project Gamma 221,7952,2020
285,Project Delta 857,3186,2013
286,Project Gamma 835,3830,2022
287,Project Zeta 745,696,2022
288,Project Zeta 954,7437,2011
289,Project Epsilon 836,2489,2023
290,Project Alpha 740,8706,2012
291,Project Alpha 920,6274,2020
292,Project Alpha 544,3086,2019
293,Project Beta 325,1099,2018
294,Project Delta 572,8537,2011
295,Project Zeta 186,447,2018
296,Project Alpha 257,3860,2018
297,Project Epsilon 346,6540,2019
298,Project Zeta 591,103,2022
299,Project Zeta 243,5831,2017
300,Project Epsilon 424,3929,2022
301,Project Gamma 533,5073,2014
302,Project Zeta 165,1139,2019
303,Project Zeta 797,3101,2015
304,Project Gamma 899,7396,2021
305,Project Beta 635,6402,2013
306,Project Epsilon 679,6425,2012
307,Project Gamma 926,273,2020
308,Project Beta 337,8229,2021
309,Project Gamma 737,2358,2010
310,Project Beta 172,7781,2020
311,Project Gamma 737,1234,2014
312,Project Gamma 110,9949,2010
313,Project Epsilon 758,387,2020
314,Project Beta 737,5984,2022
315,Project Delta 241,8540,2016
316,Project Epsilon 347,5571,2013
317,Project Epsilon 754,1469,2010
318,Project Delta 970,7878,2013
319,Project Beta 318,8515,2012
320,Project Delta 493,5243,2023
321,Project Beta 879,4842,2018
322,Project Zeta 153,2917,2021
323,Project Gamma 690,6377,2016
324,Project Epsilon 730,9419,2021
325,Project Beta 341,9132,2015
326,Project Epsilon 453,5427,2021
327,Project Beta 127,1204,2010
328,Project Zeta 214,5967,2020
329,Project Gamma 410,5050,2018
330,Project Gamma 603,9743,2012
331,Project Alpha 557,4441,2010
332,Project Gamma 207,9001,2023
333,Project Delta 114,3093,2020
334,Project Beta 274,1683,2021
335,Project Zeta 562,7476,2015
336,Project Epsilon 726,896,2012
337,Project Gamma 896,4115,2021
338,Project Zeta 711,8678,2013
339,Project Epsilon 176,427,2013
340,Project Beta 106,4495,2011
341,Project Zeta 153,3761,2020
342,Project Delta 234,8327,2022
343,Project Alpha 156,2461,2022
344,Project Epsilon 564,2824,2019
345,Project Gamma 937,7341,2015
346,Project Gamma 217,2552,2016
347,Project Beta 574,915,2020
348,Project Alpha 605,9950,2016
349,Project Zeta 862,3467,2013
350,Project Zeta 123,2961,2012
351,Project Gamma 205,7651,2016
352,Project Delta 547,8726,2019
353,Project Epsilon 278,1935,2012
354,Project Delta 392,6847,2012
355,Project Alpha 973,3407,2013
356,Project Gamma 473,9456,2021
357,Project Gamma 675,2902,2020
358,Project Epsilon 476,6519,2015
359,Project Delta 263,1048,2019
360,Project Beta 712,5344,2023
361,Project Epsilon 133,9560,2021
362,Project Epsilon 411,4866,2011
363,Project Gamma 610,5972,2013
364,Project Delta 537,3211,2022
365,Project Delta 879,9104,2021
366,Project Beta 457,6840,2014
367,Project Epsilon 462,8904,2016
368,Project Gamma 609,7160,2016
369,Project Epsilon 466,5297,2020
370,Project Delta 597,74,2015
371,Project Alpha 674,6666,2023
372,Project Gamma 951,857,2016
373,Project Delta 713,9521,2016
374,Project Gamma 985,5524,2011
375,Project Alpha 483,9600,2020
376,Project Alpha 420,2251,2023
377,Project Gamma 522,8243,2017
378,Project Alpha 417,2715,2016
379,Project Gamma 486,8185,2019
380,Project Gamma 147,8937,2010
381,Project Gamma 805,6512,2016
382,Project Alpha 809,6386,2013
383,Project Epsilon 821,3008,2018
384,Project Gamma 132,4846,2011
385,Project Delta 245,7614,2015
386,Project Alpha 979,2667,2010
387,Project Zeta 729,2588,2012
388,Project Gamma 278,1801,2012
389,Project Beta 674,205,2012
390,Project Epsilon 936,4616,2014
391,Project Zeta 939,6263,2023
392,Project Beta 604,6194,2013
393,Project Gamma 836,1572,2023
394,Project Gamma 623,7603,2014
395,Project Epsilon 973,7722,2020
396,Project Alpha 422,1599,2012
397,Project Zeta 711,5388,2014
398,Project Gamma 871,9181,2019
399,Project Beta 847,8949,2015
400,Project Beta 747,3720,2015
401,Project Epsilon 984,4806,2019
402,Project Epsilon 742,9879,2020
403,Project Epsilon 963,1091,2016
404,Project Epsilon 455,3652,2015
405,Project Zeta 763,9832,2021
406,Project Gamma 246,2187,2018
407,Project Zeta 584,5271,2011
408,Project Beta 107,9361,2021
409,Project Alpha 167,8982,2011
410,Project Delta 783,4947,2022
411,Project Epsilon 568,4087,2022
412,Project Alpha 225,1304,2014
413,Project Epsilon 533,3913,2013
414,Project Delta 971,418,2019
415,Project Epsilon 724,1578,2023
416,Project Alpha 422,48,2014
417,Project Zeta 869,5280,2019
418,Project Delta 750,1672,2019
419,Project Zeta 563,4411,2010
420,Project Alpha 967,5934,2019
421,Project Delta 475,8517,2013
422,Project Gamma 788,4766,2015
423,Project Epsilon 853,4466,2012
424,Project Alpha 116,4911,2012
425,Project Alpha 792,8339,2014
426,Project Alpha 997,8417,2012
427,Project Epsilon 742,6670,2015
428,Project Gamma 683,591,2023
429,Project Delta 660,7258,2012
430,Project Gamma 436,571,2021
431,Project Gamma 418,1957,2015
432,Project Alpha 720,789,2019
433,Project Beta 568,6057,2023
434,Project Delta 877,7633,2010
435,Project Delta 948,9491,2016
436,Project Zeta 130,6586,2011
437,Project Zeta 533,9617,2014
438,Project Alpha 316,5981,2023
439,Project Alpha 275,8880,2014
440,Project Epsilon 309,6224,2023
441,Project Epsilon 420,5899,2019
442,Project Gamma 651,2624,2017
443,Project Delta 854,1010,2021
444,Project Delta 697,2153,2012
445,Project Delta 713,1810,2023
446,Project Gamma 497,9230,2020
447,Project Zeta 357,9799,2010
448,Project Delta 121,8581,2020
449,Project Beta 609,6959,2011
450,Project Alpha 111,2781,2021
