project_id_P,project_name,departments_department_id,start_year
1,Project Beta 882,938,2018
2,Project Gamma 507,228,2022
3,Project Epsilon 231,56,2018
4,Project Delta 589,963,2018
5,Project Alpha 614,356,2016
6,Project Zeta 894,179,2017
7,Project Alpha 815,531,2017
8,Project Gamma 805,9,2010
9,Project Zeta 315,389,2019
10,Project Alpha 433,371,2019
11,Project Gamma 291,562,2014
12,Project Beta 375,483,2019
13,Project Gamma 474,189,2017
14,Project Delta 315,430,2021
15,Project Gamma 473,875,2016
16,Project Gamma 561,185,2019
17,Project Beta 689,703,2013
18,Project Alpha 838,277,2022
19,Project Beta 668,443,2023
20,Project Delta 300,150,2022
21,Project Zeta 253,485,2022
22,Project Alpha 280,432,2017
23,Project Beta 969,646,2018
24,Project Epsilon 837,324,2022
25,Project Delta 407,257,2018
26,Project Epsilon 148,408,2011
27,Project Zeta 267,62,2013
28,Project Gamma 587,860,2020
29,Project Alpha 560,763,2015
30,Project Gamma 469,369,2018
31,Project Epsilon 929,264,2015
32,Project Alpha 521,125,2015
33,Project Zeta 720,204,2019
34,Project Epsilon 765,665,2018
35,Project Beta 899,292,2015
36,Project Gamma 789,523,2017
37,Project Zeta 557,911,2011
38,Project Delta 728,294,2017
39,Project Zeta 248,890,2012
40,Project Zeta 927,951,2015
41,Project Delta 746,628,2019
42,Project Delta 969,929,2011
43,Project Alpha 265,352,2013
44,Project Gamma 424,669,2014
45,Project Zeta 373,620,2020
46,Project Delta 377,909,2017
47,Project Gamma 865,602,2018
48,Project Delta 523,172,2012
49,Project Alpha 228,746,2013
50,Project Zeta 357,964,2021
51,Project Zeta 867,82,2013
52,Project Beta 506,106,2011
53,Project Alpha 999,485,2018
54,Project Alpha 126,790,2016
55,Project Epsilon 883,86,2011
56,Project Gamma 732,160,2011
57,Project Zeta 499,317,2013
58,Project Beta 855,291,2017
59,Project Zeta 229,135,2018
60,Project Beta 129,36,2020
61,Project Gamma 981,938,2015
62,Project Delta 578,999,2023
63,Project Epsilon 378,562,2017
64,Project Beta 814,553,2012
65,Project Epsilon 711,468,2020
66,Project Zeta 751,899,2019
67,Project Delta 636,656,2020
68,Project Epsilon 417,931,2015
69,Project Delta 652,233,2022
70,Project Alpha 552,316,2015
71,Project Delta 366,160,2014
72,Project Alpha 100,536,2023
73,Project Beta 452,294,2017
74,Project Epsilon 108,705,2017
75,Project Delta 406,10,2022
76,Project Delta 917,300,2019
77,Project Beta 915,8,2018
78,Project Gamma 293,422,2018
79,Project Delta 504,256,2012
80,Project Zeta 854,662,2016
81,Project Delta 325,270,2011
82,Project Delta 740,246,2018
83,Project Epsilon 926,711,2020
84,Project Gamma 391,665,2021
85,Project Epsilon 928,276,2016
86,Project Beta 973,71,2012
87,Project Beta 396,114,2020
88,Project Delta 732,464,2014
89,Project Zeta 737,504,2013
90,Project Gamma 119,156,2010
91,Project Epsilon 122,191,2011
92,Project Gamma 375,129,2021
93,Project Delta 844,9,2013
94,Project Alpha 254,16,2017
95,Project Beta 450,431,2014
96,Project Delta 480,475,2021
97,Project Alpha 438,83,2023
98,Project Beta 157,273,2022
99,Project Delta 173,557,2017
100,Project Beta 296,918,2023
101,Project Gamma 936,391,2023
102,Project Alpha 224,998,2022
103,Project Zeta 354,395,2022
104,Project Delta 353,756,2010
105,Project Beta 571,753,2022
106,Project Alpha 633,682,2013
107,Project Delta 498,698,2014
108,Project Gamma 262,645,2021
109,Project Alpha 862,960,2018
110,Project Epsilon 225,260,2017
111,Project Zeta 405,204,2015
112,Project Alpha 984,683,2013
113,Project Alpha 341,649,2016
114,Project Gamma 115,172,2022
115,Project Gamma 698,123,2016
116,Project Beta 109,993,2010
117,Project Epsilon 902,708,2017
118,Project Zeta 710,159,2015
119,Project Alpha 354,162,2017
120,Project Alpha 802,634,2015
121,Project Zeta 161,62,2015
122,Project Zeta 257,719,2018
123,Project Alpha 228,500,2013
124,Project Gamma 671,808,2020
125,Project Gamma 924,914,2017
126,Project Zeta 297,22,2021
127,Project Delta 466,742,2012
128,Project Gamma 140,497,2021
129,Project Delta 672,302,2018
130,Project Zeta 601,195,2019
131,Project Beta 656,357,2015
132,Project Zeta 579,282,2023
133,Project Epsilon 981,568,2012
134,Project Alpha 643,159,2017
135,Project Gamma 939,270,2018
136,Project Gamma 564,1,2022
137,Project Zeta 618,389,2021
138,Project Beta 119,635,2023
139,Project Gamma 894,636,2013
140,Project Gamma 838,65,2020
141,Project Epsilon 938,397,2013
142,Project Epsilon 799,510,2022
143,Project Epsilon 257,628,2014
144,Project Gamma 519,657,2015
